country_region_code,areaName,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,date,date14
GB,Aberdeen City,-3,-4,-32,-4,-1,2,2020-02-22,2020-02-29
GB,Aberdeen City,6,0,-13,4,2,-1,2020-02-23,2020-03-01
GB,Aberdeen City,11,0,24,2,-10,1,2020-02-24,2020-03-02
GB,Aberdeen City,5,0,26,1,-6,1,2020-02-25,2020-03-03
GB,Aberdeen City,2,-2,9,4,-6,2,2020-02-26,2020-03-04
GB,Aberdeen City,-1,3,-1,-1,1,0,2020-02-27,2020-03-05
GB,Aberdeen City,0,-1,-10,-3,-1,1,2020-02-28,2020-03-06
GB,Aberdeen City,0,1,0,3,3,1,2020-02-29,2020-03-07
GB,Aberdeen City,3,0,4,18,4,-1,2020-03-01,2020-03-08
GB,Aberdeen City,-4,-7,-33,1,0,2,2020-03-02,2020-03-09
GB,Aberdeen City,0,6,12,6,2,0,2020-03-03,2020-03-10
GB,Aberdeen City,2,0,-8,6,1,1,2020-03-04,2020-03-11
GB,Aberdeen City,1,2,-1,5,3,0,2020-03-05,2020-03-12
GB,Aberdeen City,3,0,-18,7,1,0,2020-03-06,2020-03-13
GB,Aberdeen City,7,4,2,9,3,-1,2020-03-07,2020-03-14
GB,Aberdeen City,7,3,-15,16,2,-1,2020-03-08,2020-03-15
GB,Aberdeen City,5,3,17,8,2,0,2020-03-09,2020-03-16
GB,Aberdeen City,1,4,14,4,1,0,2020-03-10,2020-03-17
GB,Aberdeen City,5,6,10,1,1,0,2020-03-11,2020-03-18
GB,Aberdeen City,-1,5,20,2,2,0,2020-03-12,2020-03-19
GB,Aberdeen City,0,2,4,2,1,0,2020-03-13,2020-03-20
GB,Aberdeen City,-2,2,-15,3,1,0,2020-03-14,2020-03-21
GB,Aberdeen City,1,5,21,10,0,-1,2020-03-15,2020-03-22
GB,Aberdeen City,3,2,-2,1,0,1,2020-03-16,2020-03-23
GB,Aberdeen City,3,5,14,3,1,0,2020-03-17,2020-03-24
GB,Aberdeen City,0,4,-8,-4,0,1,2020-03-18,2020-03-25
GB,Aberdeen City,-5,9,-7,-8,0,1,2020-03-19,2020-03-26
GB,Aberdeen City,-4,9,-8,-7,-2,1,2020-03-20,2020-03-27
GB,Aberdeen City,-13,8,-34,-11,-2,3,2020-03-21,2020-03-28
GB,Aberdeen City,-8,5,-22,-4,-4,1,2020-03-22,2020-03-29
GB,Aberdeen City,-6,17,-14,-16,-9,4,2020-03-23,2020-03-30
GB,Aberdeen City,-18,17,-10,-25,-16,7,2020-03-24,2020-03-31
GB,Aberdeen City,-24,19,-4,-28,-24,10,2020-03-25,2020-04-01
GB,Aberdeen City,-28,20,1,-32,-29,12,2020-03-26,2020-04-02
GB,Aberdeen City,-35,7,-9,-34,-31,13,2020-03-27,2020-04-03
GB,Aberdeen City,-57,1,-12,-44,-26,11,2020-03-28,2020-04-04
GB,Aberdeen City,-60,-15,-6,-44,-32,8,2020-03-29,2020-04-05
GB,Aberdeen City,-53,-14,-32,-51,-48,18,2020-03-30,2020-04-06
GB,Aberdeen City,-75,-26,-30,-59,-61,24,2020-03-31,2020-04-07
GB,Aberdeen City,-78,-26,-25,-63,-67,27,2020-04-01,2020-04-08
GB,Aberdeen City,-80,-28,-16,-67,-69,28,2020-04-02,2020-04-09
GB,Aberdeen City,-80,-28,-28,-69,-69,30,2020-04-03,2020-04-10
GB,Aberdeen City,-87,-36,-55,-73,-60,,2020-04-04,2020-04-11
GB,Aberdeen City,-86,-41,-46,-73,-58,,2020-04-05,2020-04-12
GB,Aberdeen City,-77,-32,-15,-68,-70,27,2020-04-06,2020-04-13
GB,Aberdeen City,-79,-30,-30,-68,-71,28,2020-04-07,2020-04-14
GB,Aberdeen City,-79,-30,-27,-68,-70,29,2020-04-08,2020-04-15
GB,Aberdeen City,-81,-33,-33,-72,-71,30,2020-04-09,2020-04-16
GB,Aberdeen City,-80,-29,-33,-70,-70,30,2020-04-10,2020-04-17
GB,Aberdeen City,-86,-31,-30,-71,-60,,2020-04-11,2020-04-18
GB,Aberdeen City,-84,-37,-39,-71,-57,,2020-04-12,2020-04-19
GB,Aberdeen City,-78,-30,-20,-69,-71,28,2020-04-13,2020-04-20
GB,Aberdeen City,-79,-30,-9,-65,-71,28,2020-04-14,2020-04-21
GB,Aberdeen City,-80,-32,-32,-67,-71,29,2020-04-15,2020-04-22
GB,Aberdeen City,-80,-24,-19,-67,-72,29,2020-04-16,2020-04-23
GB,Aberdeen City,-80,-25,-28,-68,-73,30,2020-04-17,2020-04-24
GB,Aberdeen City,-85,-25,-2,-64,-61,,2020-04-18,2020-04-25
GB,Aberdeen City,-87,-42,-46,-72,-58,,2020-04-19,2020-04-26
GB,Aberdeen City,-82,-38,-20,-72,-76,30,2020-04-20,2020-04-27
GB,Aberdeen City,-79,-29,-9,-64,-71,28,2020-04-21,2020-04-28
GB,Aberdeen City,-78,-27,9,-65,-71,28,2020-04-22,2020-04-29
GB,Aberdeen City,-80,-29,-16,-66,-71,29,2020-04-23,2020-04-30
GB,Aberdeen City,-80,-27,-6,-67,-71,30,2020-04-24,2020-05-01
GB,Aberdeen City,-86,-29,-4,-68,-58,,2020-04-25,2020-05-02
GB,Aberdeen City,-84,-33,12,-65,-54,,2020-04-26,2020-05-03
GB,Aberdeen City,-78,-31,32,-65,-70,27,2020-04-27,2020-05-04
GB,Aberdeen City,-79,-29,33,-65,-69,27,2020-04-28,2020-05-05
GB,Aberdeen City,-80,-30,15,-67,-69,28,2020-04-29,2020-05-06
GB,Aberdeen City,-81,-26,42,-66,-69,28,2020-04-30,2020-05-07
GB,Aberdeen City,-81,-27,-7,-70,-68,29,2020-05-01,2020-05-08
GB,Aberdeen City,-85,-27,-7,-69,-56,,2020-05-02,2020-05-09
GB,Aberdeen City,-84,-34,-28,-70,-55,,2020-05-03,2020-05-10
GB,Aberdeen City,-80,-32,-13,-68,-69,27,2020-05-04,2020-05-11
GB,Aberdeen City,-80,-29,8,-65,-69,25,2020-05-05,2020-05-12
GB,Aberdeen City,-80,-29,10,-64,-68,28,2020-05-06,2020-05-13
GB,Aberdeen City,-79,-27,1,-68,-69,29,2020-05-07,2020-05-14
GB,Aberdeen City,-79,-27,5,-67,-68,28,2020-05-08,2020-05-15
GB,Aberdeen City,-84,-26,-18,-68,-56,,2020-05-09,2020-05-16
GB,Aberdeen City,-81,-33,-4,-67,-51,,2020-05-10,2020-05-17
GB,Aberdeen City,-75,-28,40,-66,-67,26,2020-05-11,2020-05-18
GB,Aberdeen City,-77,-27,34,-65,-67,26,2020-05-12,2020-05-19
GB,Aberdeen City,-76,-22,48,-63,-67,27,2020-05-13,2020-05-20
GB,Aberdeen City,-77,-19,53,-65,-68,27,2020-05-14,2020-05-21
GB,Aberdeen City,-79,-25,-5,-71,-74,30,2020-05-15,2020-05-22
GB,Aberdeen City,-84,-29,-10,-68,-56,,2020-05-16,2020-05-23
GB,Aberdeen City,-82,-31,-30,-71,-49,,2020-05-17,2020-05-24
GB,Aberdeen City,-74,-26,14,-67,-67,26,2020-05-18,2020-05-25
GB,Aberdeen City,-78,-29,-22,-69,-67,27,2020-05-19,2020-05-26
GB,Aberdeen City,-78,-26,-16,-66,-66,27,2020-05-20,2020-05-27
GB,Aberdeen City,-76,-22,9,-66,-67,26,2020-05-21,2020-05-28
GB,Aberdeen City,-77,-23,8,-67,-66,28,2020-05-22,2020-05-29
GB,Aberdeen City,-81,-24,18,-64,-52,18,2020-05-23,2020-05-30
GB,Aberdeen City,-80,-30,-9,-66,-47,,2020-05-24,2020-05-31
GB,Aberdeen City,-72,-24,42,-61,-66,25,2020-05-25,2020-06-01
GB,Aberdeen City,-74,-22,73,-61,-65,25,2020-05-26,2020-06-02
GB,Aberdeen City,-73,-19,82,-59,-65,26,2020-05-27,2020-06-03
GB,Aberdeen City,-74,-20,52,-65,-65,26,2020-05-28,2020-06-04
GB,Aberdeen City,-75,-21,-17,-67,-65,28,2020-05-29,2020-06-05
GB,Aberdeen City,-80,-22,9,-65,-49,18,2020-05-30,2020-06-06
GB,Aberdeen City,-78,-26,35,-63,-44,,2020-05-31,2020-06-07
GB,Aberdeen City,-70,-23,86,-63,-66,25,2020-06-01,2020-06-08
GB,Aberdeen City,-71,-21,,-60,-63,24,2020-06-02,2020-06-09
GB,Aberdeen City,-73,-21,59,-60,-63,25,2020-06-03,2020-06-10
GB,Aberdeen City,-71,-16,102,-61,-63,25,2020-06-04,2020-06-11
GB,Aberdeen City,-71,-10,152,-57,-62,23,2020-06-05,2020-06-12
GB,Aberdeen City,-77,-16,114,-57,-40,13,2020-06-06,2020-06-13
GB,Aberdeen City,-73,-16,109,-53,-34,8,2020-06-07,2020-06-14
GB,Aberdeen City,-65,-15,,-56,-61,21,2020-06-08,2020-06-15
GB,Aberdeen City,-69,-25,15,-63,-61,24,2020-06-09,2020-06-16
GB,Aberdeen City,-73,-24,-16,-63,-61,26,2020-06-10,2020-06-17
GB,Aberdeen City,-71,-18,41,-63,-61,25,2020-06-11,2020-06-18
GB,Aberdeen City,-74,-25,-27,-70,-61,27,2020-06-12,2020-06-19
GB,Aberdeen City,-76,-19,100,-61,-40,14,2020-06-13,2020-06-20
GB,Aberdeen City,-74,-25,15,-65,-36,,2020-06-14,2020-06-21
GB,Aberdeen City,-65,-20,81,-60,-59,23,2020-06-15,2020-06-22
GB,Aberdeen City,-67,-21,78,-60,-60,23,2020-06-16,2020-06-23
GB,Aberdeen City,-71,-24,-4,-66,-60,25,2020-06-17,2020-06-24
GB,Aberdeen City,-67,-13,,-59,-59,23,2020-06-18,2020-06-25
GB,Aberdeen City,-70,-19,32,-64,-59,25,2020-06-19,2020-06-26
GB,Aberdeen City,-75,-22,19,-62,-40,16,2020-06-20,2020-06-27
GB,Aberdeen City,-72,-23,25,-65,-32,12,2020-06-21,2020-06-28
GB,Aberdeen City,-63,-19,67,-60,-59,22,2020-06-22,2020-06-29
GB,Aberdeen City,-65,-16,,-56,-58,22,2020-06-23,2020-06-30
GB,Aberdeen City,-67,-17,91,-58,-58,22,2020-06-24,2020-07-01
GB,Aberdeen City,-67,-14,98,-62,-59,23,2020-06-25,2020-07-02
GB,Aberdeen City,-68,-14,45,-63,-58,23,2020-06-26,2020-07-03
GB,Aberdeen City,-74,-13,156,-52,-31,10,2020-06-27,2020-07-04
GB,Aberdeen City,-71,-21,33,-55,-27,10,2020-06-28,2020-07-05
GB,Aberdeen City,-61,-18,55,-60,-59,21,2020-06-29,2020-07-06
GB,Aberdeen City,-64,-17,104,-55,-59,21,2020-06-30,2020-07-07
GB,Aberdeen City,-64,-12,,-51,-56,20,2020-07-01,2020-07-08
GB,Aberdeen City,-64,-9,,-54,-56,20,2020-07-02,2020-07-09
GB,Aberdeen City,-65,-12,104,-57,-56,20,2020-07-03,2020-07-10
GB,Aberdeen City,-72,-16,37,-60,-33,12,2020-07-04,2020-07-11
GB,Aberdeen City,-66,-21,15,-60,-29,10,2020-07-05,2020-07-12
GB,Aberdeen City,-53,-18,33,-54,-57,21,2020-07-06,2020-07-13
GB,Aberdeen City,-58,-12,52,-53,-57,21,2020-07-07,2020-07-14
GB,Aberdeen City,-60,-13,81,-51,-55,20,2020-07-08,2020-07-15
GB,Aberdeen City,-61,-12,91,-54,-56,21,2020-07-09,2020-07-16
GB,Aberdeen City,-64,-16,-1,-58,-56,22,2020-07-10,2020-07-17
GB,Aberdeen City,-68,-14,99,-50,-30,10,2020-07-11,2020-07-18
GB,Aberdeen City,-63,-18,58,-51,-26,8,2020-07-12,2020-07-19
GB,Aberdeen City,-52,-14,,-46,-57,18,2020-07-13,2020-07-20
GB,Aberdeen City,-57,-17,49,-48,-58,20,2020-07-14,2020-07-21
GB,Aberdeen City,-58,-15,76,-46,-55,18,2020-07-15,2020-07-22
GB,Aberdeen City,-62,-16,40,-52,-56,20,2020-07-16,2020-07-23
GB,Aberdeen City,-62,-19,46,-49,-56,18,2020-07-17,2020-07-24
GB,Aberdeen City,-67,-18,96,-40,-25,7,2020-07-18,2020-07-25
GB,Aberdeen City,-62,-19,98,-41,-19,4,2020-07-19,2020-07-26
GB,Aberdeen City,-51,-17,85,-44,-60,18,2020-07-20,2020-07-27
GB,Aberdeen City,-52,-15,102,-41,-56,17,2020-07-21,2020-07-28
GB,Aberdeen City,-49,-16,62,-44,-54,17,2020-07-22,2020-07-29
GB,Aberdeen City,-51,-13,,-42,-54,16,2020-07-23,2020-07-30
GB,Aberdeen City,-51,-14,98,-41,-54,15,2020-07-24,2020-07-31
GB,Aberdeen City,-59,-16,116,-29,-21,4,2020-07-25,2020-08-01
GB,Aberdeen City,-54,-22,41,-38,-18,4,2020-07-26,2020-08-02
